id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score,in_squad,is_sub,is_capt,role,proj,po
246851,Toms Rapetti,Argentina,2,Prop,3.0,0.2,P,Wales,True,4,0,20.2,1.0,15.97,72.0,19.875065784098055,9.937532892049028,-0.09736588560585124,True,False,False,Starter,19.875065784098055,0
240916,Boris Wenger,Argentina,2,Prop,4.0,0.2,P,Wales,True,7,392,20.2,1.0,15.69,72.0,17.684640918674116,8.842320459337058,-0.4791634935706913,True,False,False,Starter,17.684640918674116,0
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,P,Japan,False,54,1820,19.8,0.998,20.11,56.9,21.37247668899233,10.686238344496164,0.5961363198968526,True,False,False,Starter,21.37247668899233,1
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,P,South Africa,False,19,1631,-25.7,1.0,19.65,58.5,23.576588308163984,11.788294154081992,0.7782444336407572,True,False,False,Starter,23.576588308163984,2
147486,Tadhg Beirne,Ireland,1,Lock,7.5,9.7,P,Japan,False,63,0,19.8,0.998,12.55,73.9,21.460977293152162,10.730488646576081,0.8888293941874977,True,False,False,Starter,21.460977293152162,2
244170,Lenni Nouchi,France,1,Loose Forward,5.0,0.4,P,Australia,False,6,3201,4.9,1.0,19.72,80.0,30.552761747560155,15.276380873780077,2.2215660161013675,True,False,False,Starter,30.552761747560155,3
193134,Nick Timoney,Ireland,1,Loose Forward,5.0,4.9,P,Japan,False,12,3532,19.8,0.998,21.72,62.7,30.14572110692275,15.072860553461375,2.5027621167444902,True,False,False,Starter,30.14572110692275,3
241794,Wallace Sititi,New Zealand,2,Loose Forward,6.5,4.8,P,Italy,True,20,1343,33.5,0.962,24.64,70.9,29.630058295036243,14.815029147518121,3.155459886102265,True,False,False,Starter,29.630058295036243,3
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,25.92333714946353,12.961668574731766,2.4499412338160855,True,False,False,Starter,25.92333714946353,4
118619,Sam Costelow,Wales,1,Fly Half,4.0,0.1,P,Argentina,False,23,1852,-20.2,1.0,16.23,59.9,37.19998213252913,18.599991066264565,3.5644227573840026,True,False,False,Starter,37.19998213252913,5
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,31.010147360211022,15.505073680105511,3.5421132001725733,True,False,False,Starter,31.010147360211022,6
229557,Tommaso Menoncello,Italy,1,Centre,8.0,43.1,P,New Zealand,False,40,3214,-33.5,0.962,17.24,78.2,26.832624606547114,13.416312303273557,3.219171324552285,True,False,False,Starter,26.832624606547114,6
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-19.8,0.998,9.72,65.2,32.25240733212914,16.12620366606457,3.9172996772540256,True,False,False,Starter,32.25240733212914,7
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,30.499541319438197,15.249770659719099,3.8209577887001016,True,False,False,Starter,30.499541319438197,7
180382,Bautista Delguy,Argentina,2,Back Three,5.0,3.1,P,Wales,True,26,4083,20.2,1.0,18.46,66.1,29.14221703276079,14.571108516380395,4.135173629456262,True,False,True,CAPTAIN,58.28443406552158,7
239634,Henry Pollock,England,1,Loose Forward,5.5,15.1,B,Fiji,False,16,2744,2.8,1.0,26.52,21.1,7.784645645255049,23.353936935765148,-0.7630801384026404,True,True,False,SUPER SUB,23.353936935765148,3
