id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,emp_exp,champ_exp,champ_captain_score,avg_exp,in_squad,is_sub,is_capt
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,28.446668574731767,14.223334287365883,30.97,25.92333714946353,2.4499412338160855,28.446668574731767,True,False,False
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,27.9497706597191,13.97488532985955,25.4,30.499541319438197,3.8209577887001016,27.9497706597191,True,False,False
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,27.17007368010551,13.585036840052755,23.33,31.010147360211022,3.5421132001725733,27.17007368010551,True,False,False
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,29.35071862502997,14.675359312514985,30.86,27.841437250059943,5.012668527908843,29.35071862502997,True,False,True
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,27.27215531762711,13.636077658813555,29.56,24.984310635254225,3.2488853372515,27.27215531762711,True,False,False
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,28.256551430176195,14.128275715088098,27.37,29.143102860352393,2.9646330040802944,28.256551430176195,True,False,False
235266,Joaquin Oviedo,Argentina,2,Loose Forward,5.5,3.1,P,Wales,True,24,2854,20.2,1.0,25.76,69.7,25.461857293834885,12.730928646917443,24.39,26.53371458766977,2.229720543645514,25.461857293834885,True,False,False
172351,Stuart McCloskey,Ireland,1,Centre,6.5,13.4,P,Japan,False,26,2874,19.8,0.998,22.76,70.6,23.680109519095048,11.840054759547524,22.05,25.310219038190098,1.872313382333641,23.680109519095048,True,False,False
238928,Warner Dearns,Japan,2,Lock,6.5,14.2,P,Ireland,True,33,2722,-19.8,0.998,16.2,78.3,19.37479849256888,9.68739924628444,17.49,21.259596985137758,0.6921551136433789,19.37479849256888,True,False,False
246851,Toms Rapetti,Argentina,2,Prop,3.0,0.2,P,Wales,True,4,0,20.2,1.0,15.97,72.0,17.867532892049027,8.933766446024514,15.86,19.875065784098055,-0.09736588560585124,17.867532892049027,True,False,False
233237,Immanuel Feyi-Waboso,England,1,Back Three,6.5,7.0,P,Fiji,False,15,2449,2.8,1.0,21.72,74.6,25.087999518961432,12.543999759480716,22.19,27.98599903792286,4.314957592296361,25.087999518961432,True,False,False
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,P,South Africa,False,19,1631,-25.7,1.0,19.65,58.5,19.713294154081993,9.856647077040996,15.85,23.576588308163984,0.7782444336407572,19.713294154081993,True,False,False
118531,Ronan Kelleher,Ireland,1,Hooker,6.0,1.1,P,Japan,False,54,1820,19.8,0.998,20.11,56.9,18.576238344496165,9.288119172248082,15.78,21.37247668899233,0.5961363198968526,18.576238344496165,True,False,False
237233,Ross Vintcent,Italy,1,Loose Forward,4.5,6.2,P,New Zealand,False,20,1764,-33.5,0.962,23.69,70.4,25.46590683889478,12.73295341944739,22.8,28.13181367778956,2.399603850443962,25.46590683889478,True,False,False
136875,Gianmarco Lucchesi,Italy,1,Hooker,3.5,0.4,B,New Zealand,False,32,0,-33.5,0.962,22.73,27.6,7.817784396322956,23.45335318896887,8.6,7.035568792645913,-2.054133702277647,7.817784396322956,True,True,False
240916,Boris Wenger,Argentina,2,Prop,4.0,0.2,P,Wales,True,7,392,20.2,1.0,15.69,72.0,16.63232045933706,8.31616022966853,15.58,17.684640918674116,-0.4791634935706913,16.63232045933706,True,False,False
