date,comp,team,team_id,opponent,opponent_id,team_score,opp_score,margin,result,rankings_weight,is_ncr_pair
2021-03-20,Six Nations 2021,Italy,41,Scotland,35,10,52,-42,L,,True
2021-03-20,Six Nations 2021,Scotland,35,Italy,41,52,10,42,W,,True
2021-03-20,Six Nations 2021,Wales,33,France,42,30,32,-2,L,,True
2021-03-26,Six Nations 2021,France,42,Scotland,35,23,27,-4,L,,True
2021-03-26,Six Nations 2021,Scotland,35,France,42,27,23,4,W,,True
2021-06-26,Tour 2021,Japan,49,British & Irish Lions,55,10,28,-18,L,,False
2021-07-02,Men's Internationals 2021,South Africa,39,Georgia,720,40,9,31,W,,False
2021-07-03,Men's Internationals 2021,Argentina,40,Romania,52,24,17,7,W,,False
2021-07-03,Men's Internationals 2021,Ireland,36,Japan,49,39,31,8,W,,True
2021-07-03,Men's Internationals 2021,Japan,49,Ireland,36,31,39,-8,L,,True
2021-07-03,Men's Internationals 2021,New Zealand,37,Tonga,47,102,0,102,W,,False
2021-07-03,Men's Internationals 2021,Wales,33,Canada,50,68,12,56,W,,False
2021-07-04,Men's Internationals 2021,England,34,USA,51,43,29,14,W,,False
2021-07-07,Tour 2021,Australia,38,France,42,23,21,2,W,,True
2021-07-07,Tour 2021,France,42,Australia,38,21,23,-2,L,,True
2021-07-09,Men's Internationals 2021,South Africa,39,Georgia,720,0,0,0,D,,False
2021-07-10,Men's Internationals 2021,Argentina,40,Wales,33,20,20,0,D,,True
2021-07-10,Men's Internationals 2021,England,34,Canada,50,70,14,56,W,,False
2021-07-10,Men's Internationals 2021,Fiji,46,New Zealand,37,23,57,-34,L,,True
2021-07-10,Men's Internationals 2021,Ireland,36,USA,51,71,10,61,W,,False
2021-07-10,Men's Internationals 2021,New Zealand,37,Fiji,46,57,23,34,W,,True
2021-07-10,Men's Internationals 2021,Wales,33,Argentina,40,20,20,0,D,,True
2021-07-13,Tour 2021,Australia,38,France,42,26,28,-2,L,,True
2021-07-13,Tour 2021,France,42,Australia,38,28,26,2,W,,True
2021-07-17,Men's Internationals 2021,Argentina,40,Wales,33,33,11,22,W,,True
2021-07-17,Tour 2021,Australia,38,France,42,33,30,3,W,,True
2021-07-17,Men's Internationals 2021,Fiji,46,New Zealand,37,13,60,-47,L,,True
2021-07-17,Tour 2021,France,42,Australia,38,30,33,-3,L,,True
2021-07-17,Men's Internationals 2021,New Zealand,37,Fiji,46,60,13,47,W,,True
2021-07-17,Men's Internationals 2021,Wales,33,Argentina,40,11,33,-22,L,,True
2021-07-24,Tour 2021,South Africa,39,British & Irish Lions,55,17,22,-5,L,,False
2021-07-31,Tour 2021,South Africa,39,British & Irish Lions,55,27,9,18,W,,False
2021-08-07,Bledisloe Cup 2021,Australia,38,New Zealand,37,25,33,-8,L,,True
2021-08-07,Bledisloe Cup 2021,New Zealand,37,Australia,38,33,25,8,W,,True
2021-08-07,Tour 2021,South Africa,39,British & Irish Lions,55,19,16,3,W,,False
2021-08-14,The Rugby Championship 2021,Argentina,40,South Africa,39,12,32,-20,L,,True
2021-08-14,The Rugby Championship 2021,Australia,38,New Zealand,37,22,57,-35,L,,True
2021-08-14,The Rugby Championship 2021,New Zealand,37,Australia,38,57,22,35,W,,True
2021-08-14,The Rugby Championship 2021,South Africa,39,Argentina,40,32,12,20,W,,True
2021-08-21,The Rugby Championship 2021,Argentina,40,South Africa,39,10,29,-19,L,,True
2021-08-21,The Rugby Championship 2021,South Africa,39,Argentina,40,29,10,19,W,,True
2021-09-05,The Rugby Championship 2021,Australia,38,New Zealand,37,21,38,-17,L,,True
2021-09-05,The Rugby Championship 2021,New Zealand,37,Australia,38,38,21,17,W,,True
2021-09-12,The Rugby Championship 2021,Argentina,40,New Zealand,37,0,39,-39,L,,True
2021-09-12,The Rugby Championship 2021,Australia,38,South Africa,39,28,26,2,W,,True
2021-09-12,The Rugby Championship 2021,New Zealand,37,Argentina,40,39,0,39,W,,True
2021-09-12,The Rugby Championship 2021,South Africa,39,Australia,38,26,28,-2,L,,True
2021-09-18,The Rugby Championship 2021,Argentina,40,New Zealand,37,13,36,-23,L,,True
2021-09-18,The Rugby Championship 2021,Australia,38,South Africa,39,30,17,13,W,,True
2021-09-18,The Rugby Championship 2021,New Zealand,37,Argentina,40,36,13,23,W,,True
2021-09-18,The Rugby Championship 2021,South Africa,39,Australia,38,17,30,-13,L,,True
2021-09-25,The Rugby Championship 2021,Argentina,40,Australia,38,8,27,-19,L,,True
2021-09-25,The Rugby Championship 2021,Australia,38,Argentina,40,27,8,19,W,,True
2021-09-25,The Rugby Championship 2021,New Zealand,37,South Africa,39,19,17,2,W,,True
2021-09-25,The Rugby Championship 2021,South Africa,39,New Zealand,37,17,19,-2,L,,True
2021-10-02,The Rugby Championship 2021,Argentina,40,Australia,38,17,32,-15,L,,True
2021-10-02,The Rugby Championship 2021,Australia,38,Argentina,40,32,17,15,W,,True
2021-10-02,The Rugby Championship 2021,New Zealand,37,South Africa,39,29,31,-2,L,,True
2021-10-02,The Rugby Championship 2021,South Africa,39,New Zealand,37,31,29,2,W,,True
2021-10-23,Men's Internationals 2021,Australia,38,Japan,49,32,23,9,W,,True
2021-10-23,Men's Internationals 2021,Japan,49,Australia,38,23,32,-9,L,,True
2021-10-23,Men's Internationals 2021,New Zealand,37,USA,51,104,14,90,W,,False
2021-10-30,Autumn Nations Series 2021,New Zealand,37,Wales,33,54,16,38,W,,True
2021-10-30,Autumn Nations Series 2021,Scotland,35,Tonga,47,60,14,46,W,,False
2021-10-30,Autumn Nations Series 2021,Wales,33,New Zealand,37,16,54,-38,L,,True
2021-11-06,Autumn Nations Series 2021,Argentina,40,France,42,20,29,-9,L,,True
2021-11-06,Autumn Nations Series 2021,England,34,Tonga,47,69,3,66,W,,False
2021-11-06,Men's Internationals 2021,Fiji,46,Spain,43,43,13,30,W,,False
2021-11-06,Autumn Nations Series 2021,France,42,Argentina,40,29,20,9,W,,True
2021-11-06,Autumn Nations Series 2021,Ireland,36,Japan,49,60,5,55,W,,True
2021-11-06,Autumn Nations Series 2021,Italy,41,New Zealand,37,9,47,-38,L,,True
2021-11-06,Autumn Nations Series 2021,Japan,49,Ireland,36,5,60,-55,L,,True
2021-11-06,Autumn Nations Series 2021,New Zealand,37,Italy,41,47,9,38,W,,True
2021-11-06,Autumn Nations Series 2021,South Africa,39,Wales,33,23,18,5,W,,True
2021-11-06,Autumn Nations Series 2021,Wales,33,South Africa,39,18,23,-5,L,,True
2021-11-07,Autumn Nations Series 2021,Australia,38,Scotland,35,13,15,-2,L,,True
2021-11-07,Autumn Nations Series 2021,Scotland,35,Australia,38,15,13,2,W,,True
2021-11-13,Autumn Nations Series 2021,Argentina,40,Italy,41,37,16,21,W,,True
2021-11-13,Autumn Nations Series 2021,Australia,38,England,34,15,32,-17,L,,True
2021-11-13,Autumn Nations Series 2021,England,34,Australia,38,32,15,17,W,,True
2021-11-13,Autumn Nations Series 2021,Ireland,36,New Zealand,37,29,20,9,W,,True
2021-11-13,Autumn Nations Series 2021,Italy,41,Argentina,40,16,37,-21,L,,True
2021-11-13,Men's Internationals 2021,Japan,49,Portugal,44,38,25,13,W,,False
2021-11-13,Autumn Nations Series 2021,New Zealand,37,Ireland,36,20,29,-9,L,,True
2021-11-13,Autumn Nations Series 2021,Scotland,35,South Africa,39,15,30,-15,L,,True
2021-11-13,Autumn Nations Series 2021,South Africa,39,Scotland,35,30,15,15,W,,True
2021-11-14,Autumn Nations Series 2021,Fiji,46,Wales,33,23,38,-15,L,,True
2021-11-14,Autumn Nations Series 2021,France,42,Georgia,720,41,15,26,W,,False
2021-11-14,Autumn Nations Series 2021,Wales,33,Fiji,46,38,23,15,W,,True
2021-11-20,Autumn Nations Series 2021,Australia,38,Wales,33,28,29,-1,L,,True
2021-11-20,Autumn Nations Series 2021,England,34,South Africa,39,27,26,1,W,,True
2021-11-20,Men's Internationals 2021,Fiji,46,Georgia,720,15,15,0,D,,False
2021-11-20,Autumn Nations Series 2021,France,42,New Zealand,37,40,25,15,W,,True
2021-11-20,Autumn Nations Series 2021,Italy,41,Uruguay,68,17,10,7,W,,False
2021-11-20,Autumn Nations Series 2021,Japan,49,Scotland,35,20,29,-9,L,,True
2021-11-20,Autumn Nations Series 2021,New Zealand,37,France,42,25,40,-15,L,,True
2021-11-20,Autumn Nations Series 2021,Scotland,35,Japan,49,29,20,9,W,,True
2021-11-20,Autumn Nations Series 2021,South Africa,39,England,34,26,27,-1,L,,True
2021-11-20,Autumn Nations Series 2021,Wales,33,Australia,38,29,28,1,W,,True
2021-11-21,Autumn Nations Series 2021,Argentina,40,Ireland,36,7,53,-46,L,,True
2021-11-21,Autumn Nations Series 2021,Ireland,36,Argentina,40,53,7,46,W,,True
2022-02-05,Six Nations 2022,England,34,Scotland,35,17,20,-3,L,,True
2022-02-05,Six Nations 2022,Ireland,36,Wales,33,29,7,22,W,,True
2022-02-05,Six Nations 2022,Scotland,35,England,34,20,17,3,W,,True
2022-02-05,Six Nations 2022,Wales,33,Ireland,36,7,29,-22,L,,True
2022-02-06,Six Nations 2022,France,42,Italy,41,37,10,27,W,,True
2022-02-06,Six Nations 2022,Italy,41,France,42,10,37,-27,L,,True
2022-02-12,Six Nations 2022,France,42,Ireland,36,30,24,6,W,,True
2022-02-12,Six Nations 2022,Ireland,36,France,42,24,30,-6,L,,True
2022-02-12,Six Nations 2022,Scotland,35,Wales,33,17,20,-3,L,,True
2022-02-12,Six Nations 2022,Wales,33,Scotland,35,20,17,3,W,,True
2022-02-13,Six Nations 2022,England,34,Italy,41,33,0,33,W,,True
2022-02-13,Six Nations 2022,Italy,41,England,34,0,33,-33,L,,True
2022-02-26,Six Nations 2022,England,34,Wales,33,23,19,4,W,,True
2022-02-26,Six Nations 2022,France,42,Scotland,35,36,17,19,W,,True
2022-02-26,Six Nations 2022,Scotland,35,France,42,17,36,-19,L,,True
2022-02-26,Six Nations 2022,Wales,33,England,34,19,23,-4,L,,True
2022-02-27,Six Nations 2022,Ireland,36,Italy,41,57,6,51,W,,True
2022-02-27,Six Nations 2022,Italy,41,Ireland,36,6,57,-51,L,,True
2022-03-11,Six Nations 2022,France,42,Wales,33,13,9,4,W,,True
2022-03-11,Six Nations 2022,Wales,33,France,42,9,13,-4,L,,True
2022-03-12,Six Nations 2022,England,34,Ireland,36,15,32,-17,L,,True
2022-03-12,Six Nations 2022,Ireland,36,England,34,32,15,17,W,,True
2022-03-12,Six Nations 2022,Italy,41,Scotland,35,22,33,-11,L,,True
2022-03-12,Six Nations 2022,Scotland,35,Italy,41,33,22,11,W,,True
2022-03-19,Six Nations 2022,England,34,France,42,13,25,-12,L,,True
2022-03-19,Six Nations 2022,France,42,England,34,25,13,12,W,,True
2022-03-19,Six Nations 2022,Ireland,36,Scotland,35,26,5,21,W,,True
2022-03-19,Six Nations 2022,Italy,41,Wales,33,22,21,1,W,,True
2022-03-19,Six Nations 2022,Scotland,35,Ireland,36,5,26,-21,L,,True
2022-03-19,Six Nations 2022,Wales,33,Italy,41,21,22,-1,L,,True
2022-06-18,Tour 2022,Japan,49,Uruguay,68,34,15,19,W,,False
2022-06-25,Men's Internationals 2022,Italy,41,Portugal,44,38,31,7,W,,False
2022-06-25,Tour 2022,Japan,49,Uruguay,68,43,7,36,W,,False
2022-06-29,Tour 2022,Ireland,36,Maori All Blacks,53,17,32,-15,L,,False
2022-07-01,Men's Internationals 2022,Italy,41,Romania,52,45,13,32,W,,False
2022-07-02,Men's Internationals 2022,Argentina,40,Scotland,35,26,18,8,W,,True
2022-07-02,Men's Internationals 2022,Australia,38,England,34,30,28,2,W,,True
2022-07-02,Men's Internationals 2022,England,34,Australia,38,28,30,-2,L,,True
2022-07-02,World Rugby Pacific Nations Cup 2022,Fiji,46,Tonga,47,36,0,36,W,,False
2022-07-02,Men's Internationals 2022,France,42,Japan,49,42,23,19,W,,True
2022-07-02,Men's Internationals 2022,Ireland,36,New Zealand,37,19,42,-23,L,,True
2022-07-02,Men's Internationals 2022,Japan,49,France,42,23,42,-19,L,,True
2022-07-02,Men's Internationals 2022,New Zealand,37,Ireland,36,42,19,23,W,,True
2022-07-02,Men's Internationals 2022,Scotland,35,Argentina,40,18,26,-8,L,,True
2022-07-02,Men's Internationals 2022,South Africa,39,Wales,33,32,29,3,W,,True
2022-07-02,Men's Internationals 2022,Wales,33,South Africa,39,29,32,-3,L,,True
2022-07-09,Men's Internationals 2022,Argentina,40,Scotland,35,6,29,-23,L,,True
2022-07-09,Men's Internationals 2022,Australia,38,England,34,17,25,-8,L,,True
2022-07-09,Men's Internationals 2022,England,34,Australia,38,25,17,8,W,,True
2022-07-09,World Rugby Pacific Nations Cup 2022,Fiji,46,Australia A,1142,18,32,-14,L,,False
2022-07-09,Men's Internationals 2022,France,42,Japan,49,20,15,5,W,,True
2022-07-09,Men's Internationals 2022,Ireland,36,New Zealand,37,23,12,11,W,,True
2022-07-09,Men's Internationals 2022,Japan,49,France,42,15,20,-5,L,,True
2022-07-09,Men's Internationals 2022,New Zealand,37,Ireland,36,12,23,-11,L,,True
2022-07-09,Men's Internationals 2022,Scotland,35,Argentina,40,29,6,23,W,,True
2022-07-09,Men's Internationals 2022,South Africa,39,Wales,33,12,13,-1,L,,True
2022-07-09,Men's Internationals 2022,Wales,33,South Africa,39,13,12,1,W,,True
2022-07-10,Men's Internationals 2022,Italy,41,Georgia,720,19,28,-9,L,,False
2022-07-12,Tour 2022,Ireland,36,Maori All Blacks,53,30,24,6,W,,False
2022-07-16,Men's Internationals 2022,Argentina,40,Scotland,35,34,31,3,W,,True
2022-07-16,Men's Internationals 2022,Australia,38,England,34,17,21,-4,L,,True
2022-07-16,Men's Internationals 2022,England,34,Australia,38,21,17,4,W,,True
2022-07-16,World Rugby Pacific Nations Cup 2022,Fiji,46,Samoa,45,20,23,-3,L,,False
2022-07-16,Men's Internationals 2022,Ireland,36,New Zealand,37,32,22,10,W,,True
2022-07-16,Men's Internationals 2022,New Zealand,37,Ireland,36,22,32,-10,L,,True
2022-07-16,Men's Internationals 2022,Scotland,35,Argentina,40,31,34,-3,L,,True
2022-07-16,Men's Internationals 2022,South Africa,39,Wales,33,30,14,16,W,,True
2022-07-16,Men's Internationals 2022,Wales,33,South Africa,39,14,30,-16,L,,True
2022-08-06,The Rugby Championship 2022,Argentina,40,Australia,38,26,41,-15,L,,True
2022-08-06,The Rugby Championship 2022,Australia,38,Argentina,40,41,26,15,W,,True
2022-08-06,The Rugby Championship 2022,New Zealand,37,South Africa,39,10,26,-16,L,,True
2022-08-06,The Rugby Championship 2022,South Africa,39,New Zealand,37,26,10,16,W,,True
2022-08-13,The Rugby Championship 2022,Argentina,40,Australia,38,48,17,31,W,,True
2022-08-13,The Rugby Championship 2022,Australia,38,Argentina,40,17,48,-31,L,,True
2022-08-13,The Rugby Championship 2022,New Zealand,37,South Africa,39,35,23,12,W,,True
2022-08-13,The Rugby Championship 2022,South Africa,39,New Zealand,37,23,35,-12,L,,True
2022-08-27,The Rugby Championship 2022,Argentina,40,New Zealand,37,25,18,7,W,,True
2022-08-27,The Rugby Championship 2022,Australia,38,South Africa,39,25,17,8,W,,True
2022-08-27,The Rugby Championship 2022,New Zealand,37,Argentina,40,18,25,-7,L,,True
2022-08-27,The Rugby Championship 2022,South Africa,39,Australia,38,17,25,-8,L,,True
2022-09-03,The Rugby Championship 2022,Argentina,40,New Zealand,37,3,53,-50,L,,True
2022-09-03,The Rugby Championship 2022,Australia,38,South Africa,39,8,24,-16,L,,True
2022-09-03,The Rugby Championship 2022,New Zealand,37,Argentina,40,53,3,50,W,,True
2022-09-03,The Rugby Championship 2022,South Africa,39,Australia,38,24,8,16,W,,True
2022-09-15,Bledisloe Cup 2022,Australia,38,New Zealand,37,37,39,-2,L,,True
2022-09-15,Bledisloe Cup 2022,New Zealand,37,Australia,38,39,37,2,W,,True
2022-09-17,The Rugby Championship 2022,Argentina,40,South Africa,39,20,36,-16,L,,True
2022-09-17,The Rugby Championship 2022,South Africa,39,Argentina,40,36,20,16,W,,True
2022-09-24,The Rugby Championship 2022,Argentina,40,South Africa,39,21,38,-17,L,,True
2022-09-24,Bledisloe Cup 2022,Australia,38,New Zealand,37,14,40,-26,L,,True
2022-09-24,Bledisloe Cup 2022,New Zealand,37,Australia,38,40,14,26,W,,True
2022-09-24,The Rugby Championship 2022,South Africa,39,Argentina,40,38,21,17,W,,True
2022-10-29,Autumn Nations Series 2022,Australia,38,Scotland,35,16,15,1,W,,True
2022-10-29,Men's Internationals 2022,Japan,49,New Zealand,37,31,38,-7,L,,True
2022-10-29,Men's Internationals 2022,New Zealand,37,Japan,49,38,31,7,W,,True
2022-10-29,Autumn Nations Series 2022,Scotland,35,Australia,38,15,16,-1,L,,True
2022-11-05,Autumn Nations Series 2022,Australia,38,France,42,29,30,-1,L,,True
2022-11-05,Autumn Nations Series 2022,Fiji,46,Scotland,35,12,28,-16,L,,True
2022-11-05,Autumn Nations Series 2022,France,42,Australia,38,30,29,1,W,,True
2022-11-05,Autumn Nations Series 2022,Ireland,36,South Africa,39,19,16,3,W,,True
2022-11-05,Autumn Nations Series 2022,Italy,41,Samoa,45,49,17,32,W,,False
2022-11-05,Autumn Nations Series 2022,New Zealand,37,Wales,33,55,23,32,W,,True
2022-11-05,Autumn Nations Series 2022,Scotland,35,Fiji,46,28,12,16,W,,True
2022-11-05,Autumn Nations Series 2022,South Africa,39,Ireland,36,16,19,-3,L,,True
2022-11-05,Autumn Nations Series 2022,Wales,33,New Zealand,37,23,55,-32,L,,True
2022-11-06,Autumn Nations Series 2022,Argentina,40,England,34,30,29,1,W,,True
2022-11-06,Autumn Nations Series 2022,England,34,Argentina,40,29,30,-1,L,,True
2022-11-12,Autumn Nations Series 2022,Argentina,40,Wales,33,13,20,-7,L,,True
2022-11-12,Autumn Nations Series 2022,Australia,38,Italy,41,27,28,-1,L,,True
2022-11-12,Autumn Nations Series 2022,England,34,Japan,49,52,13,39,W,,True
2022-11-12,Autumn Nations Series 2022,Fiji,46,Ireland,36,17,35,-18,L,,True
2022-11-12,Autumn Nations Series 2022,France,42,South Africa,39,30,26,4,W,,True
2022-11-12,Autumn Nations Series 2022,Ireland,36,Fiji,46,35,17,18,W,,True
2022-11-12,Autumn Nations Series 2022,Italy,41,Australia,38,28,27,1,W,,True
2022-11-12,Autumn Nations Series 2022,Japan,49,England,34,13,52,-39,L,,True
2022-11-12,Autumn Nations Series 2022,South Africa,39,France,42,26,30,-4,L,,True
2022-11-12,Autumn Nations Series 2022,Wales,33,Argentina,40,20,13,7,W,,True
2022-11-13,Autumn Nations Series 2022,New Zealand,37,Scotland,35,31,23,8,W,,True
2022-11-13,Autumn Nations Series 2022,Scotland,35,New Zealand,37,23,31,-8,L,,True
2022-11-19,Autumn Nations Series 2022,Argentina,40,Scotland,35,29,52,-23,L,,True
2022-11-19,Autumn Nations Series 2022,Australia,38,Ireland,36,10,13,-3,L,,True
2022-11-19,Autumn Nations Series 2022,England,34,New Zealand,37,25,25,0,D,,True
2022-11-19,Men's Internationals 2022,Fiji,46,French Barbarians,1721,46,14,32,W,,False
2022-11-19,Autumn Nations Series 2022,Ireland,36,Australia,38,13,10,3,W,,True
2022-11-19,Autumn Nations Series 2022,Italy,41,South Africa,39,21,63,-42,L,,True
2022-11-19,Autumn Nations Series 2022,New Zealand,37,England,34,25,25,0,D,,True
2022-11-19,Autumn Nations Series 2022,Scotland,35,Argentina,40,52,29,23,W,,True
2022-11-19,Autumn Nations Series 2022,South Africa,39,Italy,41,63,21,42,W,,True
2022-11-19,Autumn Nations Series 2022,Wales,33,Georgia,720,12,13,-1,L,,False
2022-11-20,Autumn Nations Series 2022,France,42,Japan,49,35,17,18,W,,True
2022-11-20,Autumn Nations Series 2022,Japan,49,France,42,17,35,-18,L,,True
2022-11-26,Autumn Nations Series 2022,Australia,38,Wales,33,39,34,5,W,,True
2022-11-26,Autumn Nations Series 2022,England,34,South Africa,39,13,27,-14,L,,True
2022-11-26,Autumn Nations Series 2022,South Africa,39,England,34,27,13,14,W,,True
2022-11-26,Autumn Nations Series 2022,Wales,33,Australia,38,34,39,-5,L,,True
2023-02-04,Six Nations 2023,England,34,Scotland,35,23,29,-6,L,,True
2023-02-04,Six Nations 2023,Ireland,36,Wales,33,34,10,24,W,,True
2023-02-04,Six Nations 2023,Scotland,35,England,34,29,23,6,W,,True
2023-02-04,Six Nations 2023,Wales,33,Ireland,36,10,34,-24,L,,True
2023-02-05,Six Nations 2023,France,42,Italy,41,29,24,5,W,,True
2023-02-05,Six Nations 2023,Italy,41,France,42,24,29,-5,L,,True
2023-02-11,Six Nations 2023,France,42,Ireland,36,19,32,-13,L,,True
2023-02-11,Six Nations 2023,Ireland,36,France,42,32,19,13,W,,True
2023-02-11,Six Nations 2023,Scotland,35,Wales,33,35,7,28,W,,True
2023-02-11,Six Nations 2023,Wales,33,Scotland,35,7,35,-28,L,,True
2023-02-12,Six Nations 2023,England,34,Italy,41,31,14,17,W,,True
