competition,season,engine,mae,team_points,rounds
ncr,2026,empirical_baseline,8.401189018732959,1578.0,3
ncr,2026,p3_robust_native,8.364626382376448,1740.0,3
ncr,2026,p3_rolling_native,8.416833852500616,1776.0,3
ncr,2026,p3_tournament_frozen_native,8.408938836621914,1748.0,3
ncr,2026,p3_weighted_native,8.35995015170682,1712.0,3
six_nations,2025,empirical_baseline,7.139481450020274,2410.0,5
six_nations,2025,p3_robust_native,7.2318968504966845,2416.0,5
six_nations,2025,p3_rolling_native,7.271266764565833,2347.0,5
six_nations,2025,p3_tournament_frozen_native,7.158487803345983,2295.0,5
six_nations,2025,p3_weighted_native,7.322023290289446,2260.0,5
six_nations,2026,empirical_baseline,7.389271159804082,2548.0,5
six_nations,2026,p3_robust_native,7.254336422529455,2550.0,5
six_nations,2026,p3_rolling_native,7.3337538162998275,2462.0,5
six_nations,2026,p3_tournament_frozen_native,7.299763911879663,2409.0,5
six_nations,2026,p3_weighted_native,7.339431117698186,2531.0,5
